date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-03-31,ES,,state,382480,7500,False,4064052,32,9411.2969,0.0196
2021-03-31,GO,,state,486405,11711,False,7113540,52,6837.7348,0.0241
2021-03-31,MA,,state,242401,6070,False,7114598,21,3407.09342,0.025
2021-03-31,MG,,state,1123913,24332,False,21292666,31,5278.40431,0.0216
2021-03-31,MS,,state,217457,4334,False,2809394,50,7740.35255,0.0199
2021-03-31,MT,,state,310337,7675,False,3526220,51,8800.84056,0.0247
2021-03-31,PA,,state,420372,10503,False,8690745,15,4837.00764,0.025
2021-03-31,PB,,state,259173,5744,False,4039277,25,6416.32153,0.0222
2021-03-31,PE,,state,349231,12175,False,9616621,26,3631.53544,0.0349
2021-03-31,PI,,state,206631,4141,False,3281480,22,6296.88433,0.02
2021-03-31,PR,,state,846105,16717,False,11516840,41,7346.67669,0.0198
2021-03-31,RJ,,state,647875,36727,False,17366189,33,3730.66883,0.0567
2021-03-31,RN,,state,197809,4548,False,3534165,24,5597.05051,0.023
2021-03-31,RO,,state,187270,4143,False,1796460,11,10424.39019,0.0221
2021-03-31,RR,,state,89853,1346,False,631181,14,14235.69467,0.015
2021-03-31,RS,,state,845380,19736,False,11422973,43,7400.70033,0.0233
2021-03-31,SC,,state,806929,10885,False,7252502,42,11126.21548,0.0135
2021-03-31,SE,,state,174600,3501,False,2318822,28,7529.68533,0.0201
2021-03-31,SP,,state,2469849,74652,False,46289333,35,5335.67636,0.0302
2021-03-31,TO,,state,141913,2057,False,1590248,17,8923.954,0.0145
2021-03-30,AC,,state,69103,1253,False,894470,12,7725.58051,0.0181
2021-03-30,AL,,state,152866,3533,False,3351543,27,4561.06337,0.0231
2021-03-30,AM,,state,347810,11997,False,4207714,13,8266.00857,0.0345
2021-03-30,AP,,state,96910,1292,False,861773,16,11245.42078,0.0133
2021-03-30,BA,,state,799429,15170,False,14930634,29,5354.28703,0.019
2021-03-30,CE,,state,534983,13867,False,9187103,23,5823.19584,0.0259
2021-03-30,DF,,state,343111,5912,False,3055149,53,11230.58155,0.0172
2021-03-30,ES,,state,379612,7439,False,4064052,32,9340.72694,0.0196
2021-03-30,GO,,state,483376,11527,False,7113540,52,6795.15403,0.0238
2021-03-30,MA,,state,241577,6031,False,7114598,21,3395.51159,0.025
2021-03-30,MG,,state,1111893,23915,False,21292666,31,5221.95295,0.0215
2021-03-30,MS,,state,215598,4277,False,2809394,50,7674.18169,0.0198
2021-03-30,MT,,state,307491,7575,False,3526220,51,8720.13091,0.0246
2021-03-30,PA,,state,417523,10426,False,8690745,15,4804.22564,0.025
2021-03-30,PB,,state,257620,5671,False,4039277,25,6377.87406,0.022
2021-03-30,PE,,state,346800,12118,False,9616621,26,3606.25629,0.0349
2021-03-30,PI,,state,205005,4104,False,3281480,22,6247.33352,0.02
2021-03-30,PR,,state,843046,16521,False,11516840,41,7320.11559,0.0196
2021-03-30,RJ,,state,644754,36432,False,17366189,33,3712.69713,0.0565
2021-03-30,RN,,state,197809,4541,False,3534165,24,5597.05051,0.023
2021-03-30,RO,,state,185410,4085,False,1796460,11,10320.85323,0.022
2021-03-30,RR,,state,89525,1341,False,631181,14,14183.7286,0.015
2021-03-30,RS,,state,839070,19432,False,11422973,43,7345.46077,0.0232
2021-03-30,SC,,state,802998,10752,False,7252502,42,11072.01349,0.0134
2021-03-30,SE,,state,173693,3478,False,2318822,28,7490.57064,0.02
2021-03-30,SP,,state,2446680,73492,False,46289333,35,5285.6238,0.03
2021-03-30,TO,,state,140975,2032,False,1590248,17,8864.96949,0.0144
2021-03-29,AC,,state,68905,1240,False,894470,12,7703.4445,0.018
2021-03-29,AL,,state,152210,3511,False,3351543,27,4541.49029,0.0231
2021-03-29,AM,,state,346320,11974,False,4207714,13,8230.59742,0.0346
2021-03-29,AP,,state,96199,1279,False,861773,16,11162.91645,0.0133
2021-03-29,BA,,state,795505,15050,False,14930634,29,5328.0055,0.0189
2021-03-29,CE,,state,531231,13724,False,9187103,23,5782.35598,0.0258
2021-03-29,DF,,state,341758,5818,False,3055149,53,11186.29566,0.017
2021-03-29,ES,,state,376080,7367,False,4064052,32,9253.8186,0.0196
2021-03-29,GO,,state,478618,11352,False,7113540,52,6728.2675,0.0237
2021-03-29,MA,,state,240146,5991,False,7114598,21,3375.39802,0.0249
2021-03-29,MG,,state,1103687,23788,False,21292666,31,5183.41386,0.0216
2021-03-29,MS,,state,213869,4220,False,2809394,50,7612.63817,0.0197
2021-03-29,MT,,state,304416,7485,False,3526220,51,8632.92704,0.0246
2021-03-29,PA,,state,414986,10375,False,8690745,15,4775.03367,0.025
2021-03-29,PB,,state,256470,5601,False,4039277,25,6349.40362,0.0218
2021-03-29,PE,,state,344567,12044,False,9616621,26,3583.03608,0.035
2021-03-29,PI,,state,203458,4066,False,3281480,22,6200.19016,0.02
2021-03-29,PR,,state,839764,16290,False,11516840,41,7291.61819,0.0194
2021-03-29,RJ,,state,641254,36149,False,17366189,33,3692.54302,0.0564
2021-03-29,RN,,state,196785,4508,False,3534165,24,5568.07619,0.0229
2021-03-29,RO,,state,184527,4046,False,1796460,11,10271.70101,0.0219
2021-03-29,RR,,state,89164,1320,False,631181,14,14126.53423,0.0148
2021-03-29,RS,,state,832007,19020,False,11422973,43,7283.62923,0.0229
2021-03-29,SC,,state,798076,10594,False,7252502,42,11004.14726,0.0133
2021-03-29,SE,,state,172886,3456,False,2318822,28,7455.76849,0.02
2021-03-29,SP,,state,2425320,72283,False,46289333,35,5239.47926,0.0298
2021-03-29,TO,,state,140018,2007,False,1590248,17,8804.7902,0.0143
2021-03-28,AC,,state,68742,1234,False,894470,12,7685.22142,0.018
2021-03-28,AL,,state,151824,3489,False,3351543,27,4529.97321,0.023
2021-03-28,AM,,state,345810,11952,False,4207714,13,8218.47683,0.0346
2021-03-28,AP,,state,95649,1268,False,861773,16,11099.09454,0.0133
2021-03-28,BA,,state,794437,14960,False,14930634,29,5320.85242,0.0188
2021-03-28,CE,,state,527185,13596,False,9187103,23,5738.31598,0.0258
2021-03-28,DF,,state,340166,5757,False,3055149,53,11134.18691,0.0169
2021-03-28,ES,,state,374215,7278,False,4064052,32,9207.92844,0.0194
2021-03-28,GO,,state,475463,11148,False,7113540,52,6683.91546,0.0234
2021-03-28,MA,,state,239953,5949,False,7114598,21,3372.68529,0.0248
2021-03-28,MG,,state,1100575,23687,False,21292666,31,5168.7985,0.0215
2021-03-28,MS,,state,212419,4164,False,2809394,50,7561.02562,0.0196
2021-03-28,MT,,state,302211,7370,False,3526220,51,8570.39549,0.0244
2021-03-28,PA,,state,412742,10313,False,8690745,15,4749.2131,0.025
2021-03-28,PB,,state,255502,5552,False,4039277,25,6325.43893,0.0217
2021-03-28,PE,,state,344177,12006,False,9616621,26,3578.9806,0.0349
2021-03-28,PI,,state,202230,4028,False,3281480,22,6162.76802,0.0199
2021-03-28,PR,,state,836936,16190,False,11516840,41,7267.06284,0.0193
2021-03-28,RJ,,state,640467,36109,False,17366189,33,3688.01123,0.0564
2021-03-28,RN,,state,195186,4461,False,3534165,24,5522.83213,0.0229
2021-03-28,RO,,state,183642,3990,False,1796460,11,10222.43746,0.0217
2021-03-28,RR,,state,89164,1320,False,631181,14,14126.53423,0.0148
2021-03-28,RS,,state,830630,18823,False,11422973,43,7271.57457,0.0227
2021-03-28,SC,,state,795391,10482,False,7252502,42,10967.12555,0.0132
2021-03-28,SE,,state,171701,3432,False,2318822,28,7404.66495,0.02
2021-03-28,SP,,state,2420100,71991,False,46289333,35,5228.20236,0.0297
2021-03-28,TO,,state,139094,1984,False,1590248,17,8746.68605,0.0143
2021-03-27,AC,,state,68575,1229,False,894470,12,7666.55114,0.0179
2021-03-27,AL,,state,151090,3467,False,3351543,27,4508.07285,0.0229
2021-03-27,AM,,state,345336,11939,False,4207714,13,8207.2118,0.0346
2021-03-27,AP,,state,95400,1268,False,861773,16,11070.20062,0.0133
2021-03-27,BA,,state,791481,14886,False,14930634,29,5301.0542,0.0188
2021-03-27,CE,,state,522805,13564,False,9187103,23,5690.64046,0.0259
2021-03-27,DF,,state,338930,5717,False,3055149,53,11093.73062,0.0169
